"","X.1","X","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"31",31,31,"Daniel Degerman, Micael Holmbom","Balderhallen B",1,1,"Skellefteå IBK",1
"32",32,32,"Daniel Johannesson, Thanasis Provatas","Vildmannahallen",1,1,"Sandåkerns SK",1
"33",33,33,"Daniel Johannesson, Thanasis Provatas","Vildmannahallen",1,1,"Skellefteå IBK",1
"34",34,34,"Daniel Johannesson, Ulf Stödberg","Elofssonhallen",1,1,"Gullänget-Kroksta IBS",1
"35",35,35,"Daniel Johannesson, Ulf Stödberg","Elofssonhallen",1,1,"Röbäcks IF",1
"36",36,36,"David Jonsson, Johan Rönnberg","Balderhallen A",2,3,"Kågedalens AIF",1
"37",37,37,"David Jonsson, Johan Rönnberg","Balderhallen A",2,3,"Örnsköldsvik IBF",1
"38",38,38,"David Jonsson, Johan Rönnberg","Balderhallen A",2,3,"Skellefteå IBK",1
"39",39,39,"David Jonsson, Johan Rönnberg","Balderhallen A",2,3,"Sävar IK",1
"40",40,40,"David Jonsson, Johan Rönnberg","Eddahallen",1,3,"Kågedalens AIF",1
"41",41,41,"David Jonsson, Johan Rönnberg","Eddahallen",1,3,"Ersboda SK",1
"42",42,42,"David Karlsson, Mattias Karlsson","Sjöfruhallen",1,1,"Gimonäs Umeå IF",1
"43",43,43,"David Karlsson, Mattias Karlsson","Sjöfruhallen",1,1,"Skellefteå IBK",1
"44",44,44,"Erik Hörnros, Jimmy Norlund","Elofssonhallen",3,6,"Örnsköldsvik IBF",1
"45",45,45,"Erik Hörnros, Jimmy Norlund","Elofssonhallen",3,6,"Sävar IK",1
"46",46,46,"Erik Hörnros, Jimmy Norlund","Elofssonhallen",3,6,"Sandåkerns SK",1
"47",47,47,"Erik Hörnros, Jimmy Norlund","Elofssonhallen",3,6,"Röbäcks IF",3
"48",48,48,"Erik Hörnros, Jimmy Norlund","Ersängshallen",2,6,"Ersboda SK",2
"49",49,49,"Erik Hörnros, Jimmy Norlund","Ersängshallen",2,6,"Sävar IK",1
"50",50,50,"Erik Hörnros, Jimmy Norlund","Ersängshallen",2,6,"Sandåkerns SK",1
"51",51,51,"Erik Hörnros, Jimmy Norlund","Hammarhallen Vännäs",1,6,"Sävar IK",1
"52",52,52,"Erik Hörnros, Jimmy Norlund","Hammarhallen Vännäs",1,6,"Spöland Vännäs IF",1
"53",53,53,"Gustav Broadhall, Daniel Johannesson","Hammarhallen Vännäs",1,2,"Spöland Vännäs IF",1
"54",54,54,"Gustav Broadhall, Daniel Johannesson","Hammarhallen Vännäs",1,2,"Röbäcks IF",1
"55",55,55,"Gustav Broadhall, Daniel Johannesson","Vildmannahallen",1,2,"Sandåkerns SK",1
"56",56,56,"Gustav Broadhall, Daniel Johannesson","Vildmannahallen",1,2,"Gimonäs Umeå IF",1
"57",57,57,"Henrik Johansson, Göran Norberg","Skyttis Arena",1,1,"Gullänget-Kroksta IBS",1
"58",58,58,"Henrik Johansson, Göran Norberg","Skyttis Arena",1,1,"Sävar IK",1
"59",59,59,"Henrik Johansson, Joakim Nydahl","Örnsköldsviks Sporthall",1,1,"Örnsköldsvik IBF",1
"60",60,60,"Henrik Johansson, Joakim Nydahl","Örnsköldsviks Sporthall",1,1,"Spöland Vännäs IF",1
"61",61,61,"Jens Marklund, Johan Rönnberg","Balderhallen A",1,1,"Skellefteå IBK",1
"62",62,62,"Jens Marklund, Johan Rönnberg","Balderhallen A",1,1,"Ersboda SK",1
"63",63,63,"Johnnie Lundmark, Fredrik Söderholm","Skyttis Arena",3,3,"Örnsköldsvik IBF",1
"64",64,64,"Johnnie Lundmark, Fredrik Söderholm","Skyttis Arena",3,3,"Gullänget-Kroksta IBS",3
"65",65,65,"Johnnie Lundmark, Fredrik Söderholm","Skyttis Arena",3,3,"Ersboda SK",1
"66",66,66,"Johnnie Lundmark, Fredrik Söderholm","Skyttis Arena",3,3,"Sandåkerns SK",1
"67",67,67,"Julia Fältén, Lisa Vestman","Elofssonhallen",1,4,"Röbäcks IF",1
"68",68,68,"Julia Fältén, Lisa Vestman","Elofssonhallen",1,4,"Kågedalens AIF",1
"69",69,69,"Julia Fältén, Lisa Vestman","Ersängshallen",1,4,"Röbäcks IF",1
"70",70,70,"Julia Fältén, Lisa Vestman","Ersängshallen",1,4,"Ersboda SK",1
"71",71,71,"Julia Fältén, Lisa Vestman","Sjöfruhallen",1,4,"Örnsköldsvik IBF",1
"72",72,72,"Julia Fältén, Lisa Vestman","Sjöfruhallen",1,4,"Gimonäs Umeå IF",1
