"","X","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"61",61,"Utvisning","19:56",NA,"Erik Engman-Brink","Hörnefors IF","Period3","Hårt spel 2",2,"Robertsfors IK - Hörnefors IF","Klas Höglund","Christoffer Lind","Klas Höglund, Christoffer Lind"
"62",62,"Utvisning","15:29",NA,"Viktor Vihtari Brändström","Gimonäs Umeå IF","Period2","Slag",2,"Gimonäs Umeå IF - Rönnskär Railcare IF/CIF","Daniel Degerman","Ville Hedsberg","Daniel Degerman, Ville Hedsberg"
"63",63,"Utvisning","08:40",NA,"Max Holmström","Skellefteå IBK","Period1","Hög klubba",2,"Rönnskär Railcare IF/CIF - Skellefteå IBK","Ville Hedsberg","Melker Westerberg","Ville Hedsberg, Melker Westerberg"
"64",64,"Utvisning","17:48",NA,"Ludvig Lindberg","Skellefteå IBK","Period3","Slag",2,"Rönnskär Railcare IF/CIF - Skellefteå IBK","Ville Hedsberg","Melker Westerberg","Ville Hedsberg, Melker Westerberg"
"65",65,"Utvisning","06:15",NA,"Anton Wallgren","IBF Dalen","Period2","Otillåten trängning",2,"IBF Dalen - Robertsfors IK","David Karlsson","Christoffer Lind","David Karlsson, Christoffer Lind"
"66",66,"Utvisning","06:57",NA,"William Bodén","IBF Dalen","Period3","Slag",2,"IBF Dalen - Robertsfors IK","David Karlsson","Christoffer Lind","David Karlsson, Christoffer Lind"
"67",67,"Utvisning","14:21",NA,"Anton Wallgren","IBF Dalen","Period3","Felaktigt avstånd",2,"IBF Dalen - Robertsfors IK","David Karlsson","Christoffer Lind","David Karlsson, Christoffer Lind"
"68",68,"Utvisning","15:21",NA,"Linus Johansson","Robertsfors IK","Period3","Slag",2,"IBF Dalen - Robertsfors IK","David Karlsson","Christoffer Lind","David Karlsson, Christoffer Lind"
"69",69,"Utvisning","19:43",NA,"Edvin Lambertsson","IBF Dalen","Period3","Slag",2,"IBF Dalen - Robertsfors IK","David Karlsson","Christoffer Lind","David Karlsson, Christoffer Lind"
"70",70,"Utvisning","07:09",NA,"Vincent Rosén","Gimonäs Umeå IF","Period1","Fördröjande av spelet",2,"Gimonäs Umeå IF - Skellefteå IBK","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"71",71,"Utvisning","10:49",NA,"William Grönlund","Gimonäs Umeå IF","Period1","Hårt spel 2",2,"Gimonäs Umeå IF - Skellefteå IBK","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"72",72,"Utvisning","18:45",NA,"Vincent Rosén","Gimonäs Umeå IF","Period2","Hög klubba",2,"Gimonäs Umeå IF - Skellefteå IBK","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"73",73,"Utvisning","01:20",NA,"Viktor Vihtari Brändström","Gimonäs Umeå IF","Period3","Slag",2,"Gimonäs Umeå IF - Skellefteå IBK","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"74",74,"Utvisning","02:59",NA,"Jacob Andersson","Skellefteå IBK","Period3","Otillåten trängning",2,"Gimonäs Umeå IF - Skellefteå IBK","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"75",75,"Utvisning","14:54",NA,"Eric Hedlund","Skellefteå IBK","Period3","Otillåten trängning",2,"Gimonäs Umeå IF - Skellefteå IBK","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"76",76,"Utvisning","15:38",NA,"Casper Hjelte","Skellefteå IBK","Period3","Protest mot domslut",2,"Gimonäs Umeå IF - Skellefteå IBK","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"77",77,"Utvisning","15:38",NA,"Casper Hjelte","Skellefteå IBK","Period3","Osportsligt uppträdande",12,"Gimonäs Umeå IF - Skellefteå IBK","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"78",78,"Utvisning","05:13",NA,"Ludwig Frithz","Robertsfors IK","Period2","Slag",2,"Robertsfors IK - Skellefteå IBK","Björn Glad","Marcus Glad","Björn Glad, Marcus Glad"
"79",79,"Utvisning","06:49",NA,"Lucas Holmlund","Skellefteå IBK","Period2","Fasthållning",2,"Robertsfors IK - Skellefteå IBK","Björn Glad","Marcus Glad","Björn Glad, Marcus Glad"
"80",80,"Utvisning","18:08",NA,"Adam Falk","Robertsfors IK","Period2","Slag",2,"Robertsfors IK - Skellefteå IBK","Björn Glad","Marcus Glad","Björn Glad, Marcus Glad"
"81",81,"Utvisning","00:50",NA,"Albin Isaksson","Robertsfors IK","Period3","Slag",2,"Robertsfors IK - Skellefteå IBK","Björn Glad","Marcus Glad","Björn Glad, Marcus Glad"
