"","X.1","X","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"119",119,119,"Olle Eliasson, Thomas Jonsson","Sävaråhallen",1,1,"Täfteå IK",1
"120",120,120,"Patrik Häggström, Jens Marklund","Balderhallen A",1,8,"Gullänget-Kroksta IBS",1
"121",121,121,"Patrik Häggström, Jens Marklund","Balderhallen A",1,8,"Rönnskär Railcare IF",1
"122",122,122,"Patrik Häggström, Jens Marklund","Balderhallen B",2,8,"Gimonäs Umeå IBF",1
"123",123,123,"Patrik Häggström, Jens Marklund","Balderhallen B",2,8,"Clemensnäs IF",2
"124",124,124,"Patrik Häggström, Jens Marklund","Balderhallen B",2,8,"Gullänget-Kroksta IBS",1
"125",125,125,"Patrik Häggström, Jens Marklund","Eddahallen",3,8,"IBF Skellefteå",1
"126",126,126,"Patrik Häggström, Jens Marklund","Eddahallen",3,8,"Clemensnäs IF",2
"127",127,127,"Patrik Häggström, Jens Marklund","Eddahallen",3,8,"IBK Umeå Norr",1
"128",128,128,"Patrik Häggström, Jens Marklund","Eddahallen",3,8,"IK SPIF Umeå",1
"129",129,129,"Patrik Häggström, Jens Marklund","Eddahallen",3,8,"Spöland Vännäs IF",1
"130",130,130,"Patrik Häggström, Jens Marklund","Midgårdshallen",2,8,"Team Thorengruppen Ungdom SK",2
"131",131,131,"Patrik Häggström, Jens Marklund","Midgårdshallen",2,8,"IBK Umeå Norr",1
"132",132,132,"Patrik Häggström, Jens Marklund","Midgårdshallen",2,8,"Spöland Vännäs IF",1
"133",133,133,"Peder Lövdahl, Göran Norberg","Köpmanholmens Sporthall",1,3,"Gullänget-Kroksta IBS",1
"134",134,134,"Peder Lövdahl, Göran Norberg","Köpmanholmens Sporthall",1,3,"IBF Skellefteå",1
"135",135,135,"Peder Lövdahl, Göran Norberg","Skyttis Arena",1,3,"Gimonäs Umeå IBF",1
"136",136,136,"Peder Lövdahl, Göran Norberg","Skyttis Arena",1,3,"Örnsköldsvik IBF",1
"137",137,137,"Peder Lövdahl, Göran Norberg","Örnsköldsviks Sporthall",1,3,"IBK Umeå Norr",1
"138",138,138,"Peder Lövdahl, Göran Norberg","Örnsköldsviks Sporthall",1,3,"Örnsköldsvik IBF",1
