"","X","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"358",358,"Utvisning","18:26",NA,"Liza Wikström","Vindelns IF","Period3","Otillåten trängning",2,"Vindelns IF - Skellefteå IBK","David Karlsson","Rasmus Säfvenberg","David Karlsson, Rasmus Säfvenberg"
"359",359,"Utvisning","05:26",NA,"Clara Nilsson","Umeå City IBF","Period1","Slag",2,"Umeå City IBF - Kågedalens AIF","Daniel Degerman","Micael Holmbom","Daniel Degerman, Micael Holmbom"
"360",360,"Utvisning","17:33",NA,"Klara Widmark","Umeå City IBF","Period1","Slag",2,"Umeå City IBF - Kågedalens AIF","Daniel Degerman","Micael Holmbom","Daniel Degerman, Micael Holmbom"
"361",361,"Utvisning","08:34",NA,"Elisia Norlin","Röbäcks IF","Period2","Otillåten trängning",2,"IBF Dalen - Röbäcks IF","Julia Fältén","Lisa Vestman","Julia Fältén, Lisa Vestman"
"362",362,"Utvisning","10:34",NA,"Malin Nordquist","Örnsköldsvik IBK /IBF","Period1","Spel utan klubba",2,"Rönnskär Railcare IF - Örnsköldsvik IBK /IBF","Maria Dahlin","Elin Lindgren","Maria Dahlin, Elin Lindgren"
"363",363,"Utvisning","19:23",NA,"Maja Mårtensson","Örnsköldsvik IBK /IBF","Period3","Slag",2,"Rönnskär Railcare IF - Örnsköldsvik IBK /IBF","Maria Dahlin","Elin Lindgren","Maria Dahlin, Elin Lindgren"
"364",364,"Utvisning","10:05",NA,"Ida Eriksson","Vindelns IF","Period3","Hårt spel 2",2,"Spöland Vännäs IF - Vindelns IF","Kim Fallbjörk","Rasmus Säfvenberg","Kim Fallbjörk, Rasmus Säfvenberg"
"365",365,"Utvisning","09:44",NA,"Ella Wallmark","Umeå City IBF","Period1","Slag",2,"Spöland Vännäs IF - Umeå City IBF","Alvina Mukkala","Lisa Vestman","Alvina Mukkala, Lisa Vestman"
"366",366,"Utvisning","05:11",NA,"Hermella Ghebremedhin","Umeå City IBF","Period2","Obstruktion",2,"Spöland Vännäs IF - Umeå City IBF","Alvina Mukkala","Lisa Vestman","Alvina Mukkala, Lisa Vestman"
"367",367,"Utvisning","13:55",NA,"Tuva Karlsson","Umeå City IBF","Period2","Osportsligt uppträdande",12,"Spöland Vännäs IF - Umeå City IBF","Alvina Mukkala","Lisa Vestman","Alvina Mukkala, Lisa Vestman"
"368",368,"Utvisning","18:20",NA,"Elin Broddeskog","Umeå City IBF","Period2","Felaktigt byte",2,"Spöland Vännäs IF - Umeå City IBF","Alvina Mukkala","Lisa Vestman","Alvina Mukkala, Lisa Vestman"
"369",369,"Utvisning","10:21",NA,"Tilda Sundell","Röbäcks IF","Period2","Otillåten trängning",2,"Holmsund City IBC/GUIF - Röbäcks IF","Klas Höglund","Thanasis Provatas","Klas Höglund, Thanasis Provatas"
