"","X.1","X","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"46",46,46,"Björn Glad, Marcus Glad","Sjöfruhallen",1,2,"Skellefteå IBS",1
"47",47,47,"Björn Glad, Marcus Glad","Sjöfruhallen",1,2,"Gimonäs Umeå IF",1
"48",48,48,"Björn Glad, Rasmus Säfvenberg","Bråvallahallen",1,1,"Gamla Stan IBK",1
"49",49,49,"Björn Glad, Rasmus Säfvenberg","Bråvallahallen",1,1,"Hörnefors IF",1
"50",50,50,"Björn Glad, Thanasis Provatas","Ersängshallen",1,2,"Ersboda SK",1
"51",51,51,"Björn Glad, Thanasis Provatas","Ersängshallen",1,2,"Skellefteå IBS",1
"52",52,52,"Björn Glad, Thanasis Provatas","Hammarhallen Vännäs",1,2,"Spöland Vännäs IF",1
"53",53,53,"Björn Glad, Thanasis Provatas","Hammarhallen Vännäs",1,2,"Umeå City IBF",1
"54",54,54,"Björn Glad, Ulf Stödberg","Midgårdshallen",1,1,"Umeå City IBF",1
"55",55,55,"Björn Glad, Ulf Stödberg","Midgårdshallen",1,1,"IBF Dalen",1
"56",56,56,"Daniel Degerman, Andreas Åström","Örjanshallen",1,1,"Rönnskär Railcare IF/CIF",1
"57",57,57,"Daniel Degerman, Andreas Åström","Örjanshallen",1,1,"Hörnefors IF",1
"58",58,58,"Daniel Degerman, Jens Marklund","Anderstorpshallen",1,1,"Skellefteå IBS",1
"59",59,59,"Daniel Degerman, Jens Marklund","Anderstorpshallen",1,1,"IBF Dalen",1
"60",60,60,"Daniel Degerman, Jörgen Lundberg","Örjanshallen",1,1,"Robertsfors IK",1
"61",61,61,"Daniel Degerman, Jörgen Lundberg","Örjanshallen",1,1,"Rönnskär Railcare IF/CIF",1
"62",62,62,"Daniel Degerman, Micael Holmbom","Anderstorpshallen",2,8,"Skellefteå IBK",1
"63",63,63,"Daniel Degerman, Micael Holmbom","Anderstorpshallen",2,8,"Umeå City IBF",1
"64",64,64,"Daniel Degerman, Micael Holmbom","Anderstorpshallen",2,8,"Gamla Stan IBK",1
"65",65,65,"Daniel Degerman, Micael Holmbom","Anderstorpshallen",2,8,"Gimonäs Umeå IF",1
"66",66,66,"Daniel Degerman, Micael Holmbom","Balderhallen A",2,8,"Ersboda SK",1
"67",67,67,"Daniel Degerman, Micael Holmbom","Balderhallen A",2,8,"Skellefteå IBK",1
"68",68,68,"Daniel Degerman, Micael Holmbom","Balderhallen A",2,8,"Skellefteå IBS",1
"69",69,69,"Daniel Degerman, Micael Holmbom","Balderhallen A",2,8,"Gamla Stan IBK",1
"70",70,70,"Daniel Degerman, Micael Holmbom","Balderhallen B",3,8,"Skellefteå IBS",1
"71",71,71,"Daniel Degerman, Micael Holmbom","Balderhallen B",3,8,"Örnsköldsvik IBF /IBK",1
"72",72,72,"Daniel Degerman, Micael Holmbom","Balderhallen B",3,8,"Gamla Stan IBK",2
"73",73,73,"Daniel Degerman, Micael Holmbom","Balderhallen B",3,8,"IBF Dalen",1
"74",74,74,"Daniel Degerman, Micael Holmbom","Balderhallen B",3,8,"IBF Dalen",1
"75",75,75,"Daniel Degerman, Micael Holmbom","Eddahallen",1,8,"Skellefteå IBK",1
"76",76,76,"Daniel Degerman, Micael Holmbom","Eddahallen",1,8,"Hörnefors IF",1
"77",77,77,"Daniel Degerman, Ville Hedsberg","Örjanshallen",1,1,"Gimonäs Umeå IF",1
"78",78,78,"Daniel Degerman, Ville Hedsberg","Örjanshallen",1,1,"Rönnskär Railcare IF/CIF",1
"79",79,79,"David Jonsson, Johan Rönnberg","Balderhallen A",2,3,"Gamla Stan IBK",2
"80",80,80,"David Jonsson, Johan Rönnberg","Balderhallen A",2,3,"Umeå City IBF",2
"81",81,81,"David Jonsson, Johan Rönnberg","Balderhallen B",1,3,"Skellefteå IBS",1
"82",82,82,"David Jonsson, Johan Rönnberg","Balderhallen B",1,3,"Gamla Stan IBK",1
"83",83,83,"David Karlsson, Christoffer Lind","Sporthallen Musköten",1,1,"Robertsfors IK",1
"84",84,84,"David Karlsson, Christoffer Lind","Sporthallen Musköten",1,1,"IBF Dalen",1
"85",85,85,"David Karlsson, Mattias Karlsson","Sjöfruhallen",1,2,"Umeå City IBF",1
"86",86,86,"David Karlsson, Mattias Karlsson","Sjöfruhallen",1,2,"Gimonäs Umeå IF",1
"87",87,87,"David Karlsson, Mattias Karlsson","Sporthallen Musköten",1,2,"IBF Dalen",1
"88",88,88,"David Karlsson, Mattias Karlsson","Sporthallen Musköten",1,2,"Gimonäs Umeå IF",1
"89",89,89,"David Karlsson, Rasmus Säfvenberg","Bråvallahallen",1,1,"Skellefteå IBS",1
"90",90,90,"David Karlsson, Rasmus Säfvenberg","Bråvallahallen",1,1,"Hörnefors IF",1
"91",91,91,"David Karlsson, Roger Karlsson","Bråvallahallen",1,2,"Rönnskär Railcare IF/CIF",1
"92",92,92,"David Karlsson, Roger Karlsson","Bråvallahallen",1,2,"Hörnefors IF",1
"93",93,93,"David Karlsson, Roger Karlsson","Sporthallen Musköten",1,2,"IBF Dalen",1
"94",94,94,"David Karlsson, Roger Karlsson","Sporthallen Musköten",1,2,"Umeå City IBF",1
"95",95,95,"David Morén, Andreas Åström","Balderhallen B",1,1,"Gamla Stan IBK",1
