"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"20","Straffmål","13:02","2-1","Malte Lundmark","IBF Falun","Period2","IBF Falun - IBK Dalen","Straff","Glenn Boström","Håkan Söderman","Glenn Boström, Håkan Söderman"
"21","Missad straff","05:28","","Filip Eriksson","IK Sirius IBK","Period3","Jönköpings IK - IK Sirius IBK","Straff","Glenn Boström","Håkan Söderman","Glenn Boström, Håkan Söderman"
"22","Missad straff","04:06","","Kevin Lieback Asp","AIK IBF","Period3","Team Thorengruppen SK - AIK IBF","Straff","Thomas Andersson","Rickard Wissman","Thomas Andersson, Rickard Wissman"
"23","Missad straff","17:45","","Daniel Gidske","Mullsjö AIS","Period3","Linköping IBK - Mullsjö AIS","Straff","Peter Eriksson","Kari Karke","Peter Eriksson, Kari Karke"
"24","Missad straff","11:59","","Adam Berglund","Team Thorengruppen SK","Period3","Team Thorengruppen SK - Pixbo Wallenstam IBK","Straff","Tony Olsson","Sigge Svensson Martell","Tony Olsson, Sigge Svensson Martell"
"25","Straffmål","10:41","1-1","Matej Jendrisak","Linköping IBK","Period1","Linköping IBK - Höllvikens IBF","Straff","Daniel Böcker","Andreas Lybacken","Daniel Böcker, Andreas Lybacken"
"26","Räddad straff","10:44","","Jonas Landström","Team Thorengruppen SK","Period1","Team Thorengruppen SK - Linköping IBK","Straff","David Geiser","Henrik Nilsson","David Geiser, Henrik Nilsson"
"27","Räddad straff","12:08","","Max Wahlgren","Pixbo Wallenstam IBK","Period3","Jönköpings IK - Pixbo Wallenstam IBK","Straff","Simon Broman","Martin Matti","Simon Broman, Martin Matti"
"28","Missad straff","03:52","","Mattias Hedlund","Team Thorengruppen SK","Period1","Team Thorengruppen SK - IK Sirius IBK","Straff","Thomas Andersson","Rickard Wissman","Thomas Andersson, Rickard Wissman"
"29","Straffmål","02:47","4-1","André Andersson","Växjö IBK","Period2","Storvreta IBK - Växjö IBK","Straff","Ola Hamberg","Daniel Skoog","Ola Hamberg, Daniel Skoog"
"30","Straffmål","19:27","6-5","Otto Weidman","Jönköpings IK","Period2","Jönköpings IK - IBF Falun","Straff","Thomas Andersson","Rickard Wissman","Thomas Andersson, Rickard Wissman"
"31","Straffmål","15:09","12-6","Alexander Galante Carlström","IBF Falun","Period3","IBF Falun - IBF Örebro","Straff","David Geiser","Henrik Nilsson","David Geiser, Henrik Nilsson"
"32","Straffmål","12:47","0-2","André Andersson","Växjö IBK","Period2","AIK IBF - Växjö IBK","Straff","Daniel Böcker","Andreas Lybacken","Daniel Böcker, Andreas Lybacken"
"33","Straffmål","19:11","0-2","Jimmie Pettersson","Storvreta IBK","Period1","IBK Dalen - Storvreta IBK","Straff","Ola Hamberg","Daniel Skoog","Ola Hamberg, Daniel Skoog"
"34","Straffmål","01:15","2-4","David Gillek","Mullsjö AIS","Period2","FC Helsingborg - Mullsjö AIS","Straff","Daniel Böcker","Andreas Lybacken","Daniel Böcker, Andreas Lybacken"
